trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-88.18050734257099,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-74.0828565505918,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-173.82608529262762,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-57.144496640527265,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-196.59526574385984,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-236.1523948295074,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-60.10220100446095,"{0: 16, 1: 6, 2: 1, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-83.71378145887368,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-126.21035497994762,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-118.61339973440603,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-4.485693424258928,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-13.857028708434964,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,11,11.513333433485002,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-43.82185514256241,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,6.784553418000987,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,9.732688740827246,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-31.069984825286276,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,-1.3484952828034455,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-163.85885406212384,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,10,18.40582098722939,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-68.8539472144434,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,35.69099271785201,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,15,17.95832117458269,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,-96.21572625743075,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,5.909061335910182,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,2,-54.67133574376253,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",25,0,-63.80915598341963,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,22.83756304374558,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-85.59509474734176,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-86.01407040977682,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
