trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9984661208769304}",20,0,-62.358725024611914,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9969345945390249}",20,0,-62.89372196954578,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9954054173773956}",20,0,-42.79158800279395,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.99387858578869}",20,0,-66.78165030548634,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9923540961750829}",30,9,-122.905884133316,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.9908319449442672}",25,0,-168.6884210496663,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9893121285094467}",30,0,-214.84651688282145,"{0: 15, 1: 2, 2: 6, 3: 6, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9877946432893265}",25,9,-65.49075992068558,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9862794857081051}",25,0,-114.48215860828742,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9847666521954656}",20,0,-124.43456422088848,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9832561391865677}",20,0,-122.93035012936318,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9817479431220394}",20,0,-82.4531451523639,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.980242060447968}",30,0,-307.63076949008723,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.9787384876158921}",30,0,-123.58328679909752,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9772372210827933}",20,0,-146.3538245694357,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9757382573110879}",20,0,-117.41263199055915,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.974241592768618}",30,0,-159.12772640425231,"{0: 15, 1: 6, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9727472239286442}",20,0,-47.50228726043169,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9712551472698361}",25,0,-136.47719931336414,"{0: 12, 1: 7, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.969765359276265}",20,12,-90.66842439552904,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 2}",1
