trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.41064273507848,"{0: 10, 1: 2, 2: 11, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.60231794438948,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.55746431496966,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,5,-99.64806599870505,"{0: 7, 1: 0, 2: 7, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.89626367888832,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.90837973714558,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.07477060214032,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.40511923247145,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.71706086508424,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.36926370635993,"{0: 20, 1: 4, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.38122349067172,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.44312787494607,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.74453007214215,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.4337436853939,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-136.13943228466718,"{0: 20, 1: 7, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.19121210047578,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.36685805580363,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.56103322050288,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-21.869625124365882,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.02317883661283,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.87116234134476,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,12,-30.173522151929983,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.35888417249066,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-50.37065250617441,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-246.98982509117178,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.51783279040414,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,2,-215.24258107982683,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 4}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-38.91508969024455,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-32.39820199288338,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.47017892596568,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
